,Company,PriceRs.,Day HighRs.
0,HDFC Bank,1877.90,1882.05
1,Ajax Engineering,677.20,687.90
2,Paradeep Phosphates,136.05,139.00
3,Narayana Hrudayalay,1793.10,1832.00
4,NACL Industries,181.15,181.15
5,Bharti Airtel,1823.00,1826.75
6,Shree Cement,30840.00,31324.00
7,Chambal Fert & Chem,654.65,668.75
8,HM Electro Mech,89.40,89.40
9,Desco Infratech,232.40,237.20
10,Eicher Motors,5620.00,5628.95
11,Kaveri Seed,1539.90,1601.85
12,SBI Cards AndPayment,888.45,890.00
13,Swaraj Engines,4191.10,4478.60
14,Colab Platforms,115.59,115.59
